Sr.no,ID,Name of News,YouTube link,Duration,Publishing year,Media Organization,Auidio Quality,single speaker,Country,Repor Status,Correction,standard duration
67.0,STT_NW0067,"Radio Free Asia Ukay Webcast , Thursday , March 08, 2012",https://youtu.be/8QF5W-kjafc?si=VaJsoXWxCef_r5XM,0:05:00,2012.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:05:12
68.0,STT_NW0068,"Radio Free Asia Ukay Webcast , Thursday , January 19 , 2012",https://youtu.be/tL7wtLYoOVc?si=_CTIVB1-EGnfpAS3,0:04:00,2012.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:04:33
69.0,STT_NW0069,"Radio Free Asia Ukay Webcast , Thursday , March 01, 2012",https://youtu.be/1hPEt20VulA?si=5WE4DB3kHpJnnQBG,0:06:00,2012.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:04:53
70.0,STT_NW0070,"Radio Free Asia Ukay Webcast , Thursday , April 12, 2012",https://youtu.be/-uVWv16ChfE?si=PWPSsXz_jD1Ssd4X,0:04:00,2012.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:04:45
71.0,STT_NW0071,"Radio Free Asia Ukay Webcast , Thursday ,August 02, 2012",https://youtu.be/_kahfs5if84?si=vaOBGcoEJ1W129fV,0:04:00,2012.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:04:43
72.0,STT_NW0072,"Radio Free Asia Ukay webcast, Thursday, March 27, 2014",https://youtu.be/ePqzUvMBZvI?si=gTowdToT6o7uenDm,0:06:00,2014.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:05:59
73.0,STT_NW0073,"Radio Free Asia Ukay webcast, Thursday, January 9, 2014",https://youtu.be/dl_w1HJox6Y?si=cuUnn_-GIBezuywf,0:06:00,2014.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:06:11
74.0,STT_NW0074,"Radio Free Asia Tibetan Webcast Thursday, September 23, 2010",https://youtu.be/ulEBxSpVjh0?si=cLARba6w5OLyEeK2,0:06:00,2010.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:06:35
75.0,STT_NW0075,"Radio Free Asia Ukay Webcast , Thursday , December 01, 2011",https://youtu.be/VDx6FrBxua0?si=5OTB5wqsLxE55pxF,0:04:00,2011.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:04:41
76.0,STT_NW0076,"Radio Free Asia Ukay Webcast Thursday, July 03, 2014",https://youtu.be/N3X0k4hQrUs?si=iLW6aRPB4aKkK36r,0:06:00,2014.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:05:56
77.0,STT_NW0077,"Radio Free Asia Ukay webcast, Thursday, June 19, 2014",https://youtu.be/BNm2mj0myuY?si=xh3mhS6iEascY_Gm,0:05:00,2014.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:04:37
78.0,STT_NW0078,"Radio Free Asia Ukay Webcast Thursday, June 26, 2014",https://youtu.be/hZmDqEsD_1w?si=H4WN8XI-4pxi-dBV,0:05:00,2014.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:04:38
79.0,STT_NW0079,"Radio Free Asia Ukay webcast, Thursday, June 12, 2014",https://youtu.be/yuvTXSU6CiM?si=z6GcAYdyomgOFEQu,0:06:00,2014.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:06:15
80.0,STT_NW0080,"Radio Free Asia Ukay webcast, Thursday, January 23, 2014",https://youtu.be/vnPAIqANrxQ?si=ha5kF7K0xy5VvM_P,0:06:00,2014.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:05:47
81.0,STT_NW0081,"Radio Free Asia Ukay Webcast Thursday, July 24, 2014",https://youtu.be/jMdjjQ1_DpQ?si=4QcwZlwz8b70gYRE,0:05:00,2014.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:05:00
82.0,STT_NW0082,"Radio Free Asia Ukay webcast, Thursday, August 21, 2014",https://youtu.be/EAzFE2ioeb0?si=p9kSIZBrJKfbbVC1,0:06:00,2014.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:06:50
83.0,STT_NW0083,"Radio Free Asia Ukay webcast, Thursday, June 5, 2014",https://youtu.be/mxxMs1pdeBA?si=Ud9_70VRREQ0pEq6,0:06:00,2014.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:05:21
84.0,STT_NW0084,"Radio Free Asia Ukay Webcast Thursday, August 7, 2014",https://youtu.be/3CubTwfLguU?si=Zz7Szrbob7REfyt6,0:06:00,2014.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:06:02
85.0,STT_NW0085,"Radio Free Asia Tibetan Webcast Thursday, June 10, 2010",https://youtu.be/qBlPZNUv_To?si=aEJ72mPQh8X3IjYl,0:06:00,,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:06:34
86.0,STT_NW0086,Radio Free Asia Ukay Webcast 5th December 2013,https://youtu.be/rHud6FDtudk?si=shE25iyws8S0vcRP,0:06:00,,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:05:30
87.0,STT_NW0087,RFA Special Report Lowell Thomas visit to Tibet 1949,https://youtu.be/X-ZZx9kMPCU?si=lZcfEeFJS0l-fWNk,0:14:00,2014.0,RFA,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:14:46
