Sr.no,ID,Name of News,youtube link,https://youtu.be/ATOcPSGRgVk?si=pnFohU9qeZqgbPXj,Duration,standard duration,Publishing year,Media Organization,Auidio Quality,single speaker,Country,Pecha Tools,Group,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
663.0,STT_NW0650,"བདུན་ཕྲག་འདིའི་བོད་དོན་གསར་འགྱུར་ཕྱོགས་བསྡུས། ༢༠༢༢།༠༢།༡༡ Tibet This Week (Tibetan)- Feb.11 , 2022",https://youtu.be/wVJhph_8y5I?si=NaGBNM47iGDEUpHE,YouTube ,12:00,00:12:00,2022.0,TibetTV,Good ,True,India,,,,,,,,,,,,,,,
664.0,STT_NW0651,"བདུན་ཕྲག་འདིའི་བོད་དོན་གསར་འགྱུར་ཕྱོགས་བསྡུས། ༢༠༢༤།༠༢།༡༦ Tibet This Week (Tibetan)-February 16, 2024",https://youtu.be/I1q2_W5xIqE?si=lkpXcexnzsW2IWD0,YouTube ,14:23,00:14:24,2024.0,TibetTV,Good ,True,India,,,,,,,,,,,,,,,
665.0,STT_NW0652,"བདུན་ཕྲག་འདིའི་བོད་དོན་གསར་འགྱུར་ཕྱོགས་བསྡུས། ༢༠༢༠།༡༢།༡༨ Tibet This Week (Tibetan)- Dec. 18, 2020",https://youtu.be/jJqoi47AkVE?si=YPHGQFtpCC3yz1wu,YouTube ,10:55,00:10:55,2020.0,TibetTV,Good ,True,India,,,,,,,,,,,,,,,
666.0,STT_NW0653,"བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ༢༠༢༤།༠༧།༡༨ TTV Daily News July 18, 2024",https://youtu.be/GZVklxLLZtA?si=jXutrkwaNkn0Q13_,YouTube ,06:50,00:06:51,2024.0,TibetTV,Good ,True,India,,,,,,,,,,,,,,,
667.0,STT_NW0654,"བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ༢༠༢༢།༠༢།༡༠ Tibet TV Daily News – February 10, 2022",https://youtu.be/EXokDmgUCIE?si=Mfluw7l9ulrxoNx6,YouTube ,05:46,00:05:47,2022.0,TibetTV,Good ,True,India,,,,,,,,,,,,,,,
668.0,STT_NW0655,"Kunleng News July 18, 2024",https://youtu.be/hCekTPxsUDs?si=1eji13lvL34nYyFk,YouTube ,14:01,00:14:02,2024.0,VOA  Tibetan,Good ,True,US,,,,,,,,,,,,,,,
669.0,STT_NW0656,"Kunleng News July 19, 2023",https://youtu.be/PojYYMXaI0w?si=oCdwBUbLUI_saQUF,YouTube ,22:19,00:22:20,2023.0,VOA  Tibetan,Good ,True,US ,,,,,,,,,,,,,,,
670.0,STT_NW0657,སྤྱི་མཐུན་ཚོགས་པའི་ཚོགས་ཆེན་ཉིན་གསུམ་པ Republican Vice-Presidential candidate J.D. Vance།,https://youtu.be/ZJ9qRIFIUGU?si=EQ5hefovbSJConNc,YouTube ,02:36,00:02:37,2024.0,VOA  Tibetan,GOOD ,True,US ,,,,,,,,,,,,,,,
671.0,STT_NW0658,ཧྥ་རན་སིར་བོད་དང་ཧི་མ་ལ་ཡའི་རིག་གཞུང་དུས་སྟོན་ཐེངས་༢༣པ་སྲུང་བརྩི་ཞུས།23rd CULTURAL FESTIVAL OF TIBET,https://youtu.be/HRoYYUL2_Zw?si=DzidAdHTjcxK6eA9,YouTube ,05:04,00:05:05,2024.0,VOA  Tibetan,GOOD,True,PARIS ,,,,,,,,,,,,,,,
672.0,STT_NW0659,"ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༤ ལོའི་ཟླ་༧ ཚེས་༡༡ Kunleng News July 11, 2024",https://youtu.be/7q8AGCAl7Ts?si=sevfZH_Ov_WWw2ru,YouTube ,11:05,00:11:05,2024.0,VOA  Tibetan,GOOD ,True,US ,,,,,,,,,,,,,,,
