Audio File (Original),split duration,dept
STT_CS-D-2012-P-D-B02-4-R-01,00:06:45.149,STT_CS
STT_CS-D-2012-P-D-B03-4-R-02,00:06:17.880,STT_CS
STT_CS-D-2012-P-D-B04-4-R-01,00:04:49.543,STT_CS
STT_CS-D-2012-P-D-B04-4-R-04,00:17:08.416,STT_CS
STT_CS-D-2012-P-D-B04-5-R-01,00:15:11.511,STT_CS
STT_CS-D-2012-P-D-B04-5-R-02,00:04:30.887,STT_CS
STT_CS-D-2012-P-D-B04-5-R-03,00:01:32.147,STT_CS
STT_CS-D-2012-P-D-B05-4-R-01,00:13:44.576,STT_CS
STT_CS-D-2012-P-D-B05-4-R-02,00:37:03.560,STT_CS
STT_CS-D-2012-P-D-B05-5-R-01,00:12:00.884,STT_CS
STT_CS-D-2012-P-D-B05-5-R-02,00:11:22.557,STT_CS
STT_CS-D-2012-P-D-B05-5-R-03a,00:02:11.710,STT_CS
STT_CS-D-2012-P-D-B05-5-R-03b,00:05:19.297,STT_CS
STT_CS-D-2012-P-D-B06-4-R-01,00:05:28.759,STT_CS
STT_CS-D-2012-P-D-B06-4-R-02,00:06:33.525,STT_CS
STT_CS-D-2012-P-D-B06-4-R-03,00:02:25.876,STT_CS
STT_CS-D-2012-P-D-B07-5-R-01a,00:01:04.631,STT_CS
STT_CS-D-2012-P-D-B07-5-R-01b,00:01:20.392,STT_CS
STT_CS-D-2012-P-D-B07-5-R-02,00:13:00.909,STT_CS
STT_CS-D-2012-P-D-B07-5-R-03,00:18:35.436,STT_CS
STT_CS-D-2012-P-D-B07-6-R-01,00:03:29.383,STT_CS
STT_CS-D-2012-P-D-B08-6-R-01,00:03:15.092,STT_CS
STT_CS-D-2012-P-D-G02-1-N-01,00:05:57.091,STT_CS
STT_CS-D-2012-P-D-G02-3-N-03,00:06:43.625,STT_CS
STT_CS-D-2012-P-D-G03-3-N-01,00:09:20.764,STT_CS
STT_CS-D-2012-P-D-G03-3-N-03,00:14:12.086,STT_CS
STT_CS-D-2012-P-D-G03-3-N-04,00:05:14.670,STT_CS
STT_CS-D-2012-P-D-G03-3-N-05,00:05:14.670,STT_CS
STT_CS-D-2012-P-D-G05-5-K-01,00:10:46.620,STT_CS
STT_CS-D-2012_2013-M_M-D_D-B06_B05-5_5-R_R-02,00:11:34.606,STT_CS
STT_CS-D-2013-M-D-B01-0-R-01,00:19:06.008,STT_CS
STT_CS-D-2013-M-D-B01-0-R-02,00:05:30.358,STT_CS
STT_CS-D-2013-M-D-B01-0-R-03,00:20:31.936,STT_CS
STT_CS-D-2013-M-D-B01-3-R-01,00:09:43.167,STT_CS
STT_CS-D-2013-M-D-B01-3-R-2,00:13:53.973,STT_CS
STT_CS-D-2013-M-D-B01-4-R-02,00:08:57.123,STT_CS
STT_CS-D-2013-M-D-B01-4-R-03,00:12:15.044,STT_CS
STT_CS-D-2013-M-D-B02-2-R-02a,00:01:47.814,STT_CS
STT_CS-D-2013-M-D-B02-2-R-02b,00:07:43.909,STT_CS
STT_CS-D-2013-M-D-B02-4-R-01,00:12:37.655,STT_CS
STT_CS-D-2013-M-D-B02-5-R-02,00:17:22.578,STT_CS
STT_CS-D-2013-M-D-B03-1-R-01,00:03:02.816,STT_CS
STT_CS-D-2013-M-D-B03-1-R-02,00:04:38.802,STT_CS
STT_CS-D-2013-M-D-B03-2-R-01a,00:02:11.768,STT_CS
STT_CS-D-2013-M-D-B03-2-R-01b,00:02:54.504,STT_CS
STT_CS-D-2013-M-D-B03-2-R-03,00:05:48.181,STT_CS
STT_CS-D-2013-M-D-B03-3-R-01,00:09:55.881,STT_CS
STT_CS-D-2013-M-D-B03-4-R-01,00:11:35.222,STT_CS
STT_CS-D-2013-M-D-B03-4-R-03,00:12:07.958,STT_CS
STT_CS-D-2013-M-D-B03-4-R-04a,00:03:03.228,STT_CS
STT_CS-D-2013-M-D-B03-4-R-04b,00:04:24.447,STT_CS
STT_CS-D-2013-M-D-B03-4-R-05,00:09:31.903,STT_CS
STT_CS-D-2013-M-D-B03-5-R-01,00:21:51.866,STT_CS
STT_CS-D-2013-M-D-B03-5-R-03,00:06:28.220,STT_CS
STT_CS-D-2013-M-D-B04-02-R-01,00:20:24.934,STT_CS
STT_CS-D-2013-M-D-B04-2-R-01a,00:02:15.540,STT_CS
STT_CS-D-2013-M-D-B04-2-R-01b,00:01:41.789,STT_CS
STT_CS-D-2013-M-D-B04-2-R-02,00:05:48.876,STT_CS
STT_CS-D-2013-M-D-B04-2-R-03,00:12:20.580,STT_CS
STT_CS-D-2013-M-D-B04-4-R-01,00:16:21.997,STT_CS
STT_CS-D-2013-M-D-B04-4-R-02,00:23:59.731,STT_CS
STT_CS-D-2013-M-D-B04-4-R-03,00:06:26.548,STT_CS
STT_CS-D-2013-M-D-B04-4-R-04,00:11:57.254,STT_CS
STT_CS-D-2013-M-D-B04-5-R-01,00:04:06.812,STT_CS
STT_CS-D-2013-M-D-B04-5-R-02,00:20:44.635,STT_CS
STT_CS-D-2013-M-D-B05-3-R-01a,00:01:10.658,STT_CS
STT_CS-D-2013-M-D-B05-3-R-01b,00:02:05.821,STT_CS
STT_CS-D-2013-M-D-B05-4-R-01,00:03:42.768,STT_CS
STT_CS-D-2013-M-D-B05-4-R-02,00:02:14.839,STT_CS
